318.0 ,312 ,464.0 ,458
531.0 ,525 ,671.0 ,665
738.0 ,732 ,881.0 ,875
942.0 ,936 ,1083.0,1077
1147.0,1141,1295.0,1289
1359.0,1353,1502.0,1496
1566.0,1560,1711.0,1705
1773.0,1767,1924.0,1918
1980.0,1974,2138.0,2132
2189.0,2183,2345.0,2339
2394.0,2388,2545.0,2539
2616.0,2610,2762.0,2756
2829.0,2823,2974.0,2968
3030.0,3024,3163.0,3157
3238.0,3232,3370.0,3364
3432.0,3426,3583.0,3577
