H                 ,f
98.13383090112626 ,170250.0559680009
45.899448154173044,170499.3542381977
108.55241201688321,170997.9711599293
90.32876266978427 ,171247.2891246343
121.06756403570273,171745.9783408685
141.64313474303066,171995.2888011394
90.33011017748089 ,172493.8944100934
111.45998042319957,172743.2158366544
83.01521618256957 ,173241.9284986519
74.48067947368494 ,173491.2301406782
83.68731309472416 ,173989.857962602
89.50539252865285 ,174239.2119940854
108.91622161154014,174737.8653160498
82.83229389247057 ,174987.1782568605
70.58449476763802 ,175485.8012417029
35.07080276422692 ,175735.1744566197
58.018631068842126,176233.7882579802
62.19604282629977 ,176483.120728685
96.04787892664889 ,176981.7674822022
79.04495800665661 ,177231.1232815572
77.18288206508318 ,177729.7603503603
80.03624362097662 ,177979.0523850118
63.543153120705554,178477.7552874196
211.79828887704159,178727.0579338074
193.38530029566041,179225.6972019891
216.31424395328048,179474.99233797
268.2562740117951 ,179724.3157586424
263.2047760023716 ,180222.9993625865
342.97908299348876,180472.3004418353
299.225476666738  ,180970.9521932217
359.30768533177866,181220.3262175042
484.02906133119427,181718.9475679407
417.46231380871995,181968.2590960686
378.4619223684141 ,182466.8714414305
439.1201131824447 ,182716.2791784427
387.2114534558064 ,183214.8807088517
359.081497428577  ,183464.1997791231
288.4722628116937 ,183962.8655524624
273.1036403951318 ,184212.2169560417
269.3953237109181 ,184710.8202696681
183.9470716811093 ,184960.1477856179
183.8322232221748 ,185458.8454020093
241.94405802165284,185708.1611535766
165.45610336130906,186206.7768360373
133.7218551758794 ,186456.0805543092
112.40039782138057,186954.7881683705
114.77595971252322,187204.0894543401
147.60595326607054,187702.7186511817
100.0752028542241 ,187952.0049571696
99.41529258018171 ,188450.7242028119
97.32376935392945 ,188700.0238183625
116.88736445281114,189198.6549173802
93.24193034739086 ,189447.9583636869
85.44998366203976 ,189697.3544529499
48.37373037324373 ,190195.9869191847
77.59249829264557 ,190445.2946698655
82.01780275679981 ,190943.9413090522
66.97561717571179 ,191193.2992197849
64.3445675722324  ,191691.9144742112
67.22022640408954 ,191941.2138462067
87.12303406148747 ,192439.9313878276
44.22259325473364 ,192689.2391885612
90.24481873104521 ,193187.8632903515
84.95089052246209 ,193437.1621452472
64.51528385494576 ,193935.8823619871
99.07402082539019 ,194185.1862050715
77.95030978785512 ,194683.7825649672
65.38035674898931 ,194933.1168642291
67.23036311605402 ,195431.8164586931
69.95404809055368 ,195681.1399980641
67.66037430314168 ,196179.7382005724
79.47046857295008 ,196429.0545868747
129.58512937056037,196927.7331428515
58.878161299837494,197177.053557411
76.63230847893207 ,197675.6770481794
94.6828212624755  ,197925.0455621815
67.23535004289033 ,198423.7131854423
75.40457020390012 ,198672.9968632732
47.69637734685147 ,199171.6223156074
53.95851328847506 ,199421.0195412348
60.36237696684341 ,199919.6349139575
71.13192767726142 ,200168.9465889857
61.74154178190939 ,200667.5740028976
53.899264648494366,200916.9759889162
99.62816351221218 ,201415.5654564142
51.53637146666259 ,201664.8786943686
83.05767346124011 ,210556.6071788749
75.54450921375424 ,210805.9158536762
68.82018905052003 ,211304.6302289902
65.4140056592123  ,211553.9181700361
55.849274963915335,212052.5494572644
84.98125470768736 ,212301.8593651689
66.66280889467082 ,212551.228569402
72.43701922813871 ,213049.8900067161
91.14101665659393 ,213299.1701469871
68.6129220131925  ,213797.8340701516
111.89606100778417,214047.1826149587
66.44887504465957 ,214545.8171120647
68.61592223997218 ,214795.1197676352
