98.1338309 ,170250.056
45.89944815,170499.3542
108.552412 ,170997.9712
90.32876267,171247.2891
121.067564 ,171745.9783
141.6431347,171995.2888
90.33011018,172493.8944
111.4599804,172743.2158
83.01521618,173241.9285
74.48067947,173491.2301
83.68731309,173989.858
89.50539253,174239.212
108.9162216,174737.8653
82.83229389,174987.1783
70.58449477,175485.8012
35.07080276,175735.1745
58.01863107,176233.7883
62.19604283,176483.1207
96.04787893,176981.7675
79.04495801,177231.1233
77.18288207,177729.7604
80.03624362,177979.0524
63.54315312,178477.7553
211.7982889,178727.0579
193.3853003,179225.6972
216.314244 ,179474.9923
268.256274 ,179724.3158
263.204776 ,180222.9994
342.979083 ,180472.3004
299.2254767,180970.9522
359.3076853,181220.3262
484.0290613,181718.9476
417.4623138,181968.2591
378.4619224,182466.8714
439.1201132,182716.2792
387.2114535,183214.8807
359.0814974,183464.1998
288.4722628,183962.8656
273.1036404,184212.217
269.3953237,184710.8203
183.9470717,184960.1478
183.8322232,185458.8454
241.944058 ,185708.1612
165.4561034,186206.7768
133.7218552,186456.0806
112.4003978,186954.7882
114.7759597,187204.0895
147.6059533,187702.7187
100.0752029,187952.005
99.41529258,188450.7242
97.32376935,188700.0238
116.8873645,189198.6549
93.24193035,189447.9584
85.44998366,189697.3545
48.37373037,190195.9869
77.59249829,190445.2947
82.01780276,190943.9413
66.97561718,191193.2992
64.34456757,191691.9145
67.2202264 ,191941.2138
87.12303406,192439.9314
44.22259325,192689.2392
90.24481873,193187.8633
84.95089052,193437.1621
64.51528385,193935.8824
99.07402083,194185.1862
77.95030979,194683.7826
65.38035675,194933.1169
67.23036312,195431.8165
69.95404809,195681.14
67.6603743 ,196179.7382
79.47046857,196429.0546
129.5851294,196927.7331
58.8781613 ,197177.0536
76.63230848,197675.677
94.68282126,197925.0456
67.23535004,198423.7132
75.4045702 ,198672.9969
47.69637735,199171.6223
53.95851329,199421.0195
60.36237697,199919.6349
71.13192768,200168.9466
61.74154178,200667.574
53.89926465,200916.976
99.62816351,201415.5655
51.53637147,201664.8787
83.05767346,210556.6072
75.54450921,210805.9159
68.82018905,211304.6302
65.41400566,211553.9182
55.84927496,212052.5495
84.98125471,212301.8594
66.66280889,212551.2286
72.43701923,213049.89
91.14101666,213299.1701
68.61292201,213797.8341
111.896061 ,214047.1826
66.44887504,214545.8171
68.61592224,214795.1198
